itemKey,name,type,registry,catalogPresent,catalogGroup,compositionMode,childCount,placement,rotation,moveSnap,color,image,light,glass,fabric,capabilities,bomOk,bomError,persistence,renderer,factoryOk,contractProfile,definition,placeable,gaps
upright_346_5,"Dikme 346,5 cm",upright,LEAF_ITEMS,true,Panel Ek Modül,leaf (recipe yok),1,free,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createUprightModule,true,free-editable,docs/items/definitions/upright_346_5.md,true,
upright_99,Dikme 99 cm,upright,LEAF_ITEMS,false,,leaf (recipe yok),1,free,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),createUprightModule,false,,docs/items/definitions/upright_99.md,false,factory üretmez
upright_49_5,"Dikme 49,5 cm",upright,LEAF_ITEMS,false,,leaf (recipe yok),1,free,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),createUprightModule,false,,docs/items/definitions/upright_49_5.md,false,factory üretmez
profile_41_5,"Profil 41,5 cm",profile,LEAF_ITEMS,true,Panel Ek Modül,leaf (recipe yok),1,wall,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createProfileModule,true,free-editable,docs/items/definitions/profile_41_5.md,true,
profile_91,Profil 91 cm,profile,LEAF_ITEMS,true,Panel Ek Modül,leaf (recipe yok),1,wall,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createProfileModule,true,free-editable,docs/items/definitions/profile_91.md,true,
profile_140_5,"Profil 140,5 cm",profile,LEAF_ITEMS,true,Panel Ek Modül,leaf (recipe yok),1,wall,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createProfileModule,true,free-editable,docs/items/definitions/profile_140_5.md,true,
profile_190,Profil 190 cm,profile,LEAF_ITEMS,true,Panel Ek Modül,leaf (recipe yok),1,wall,90,50,evet,evet,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createProfileModule,true,free-editable,docs/items/definitions/profile_190.md,true,
panel_48_5,"Panel 48,5 × 47 cm",panel,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/panel_48_5.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
panel_98,Panel 98 × 47 cm,panel,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/panel_98.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
panel_147_5,"Panel 147,5 × 47 cm",panel,LEAF_ITEMS,false,,leaf (recipe yok),1,wall,90,50,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,doğrudan persist yok (parent BOM/recipe içinde),,false,,docs/items/definitions/panel_147_5.md,false,factory üretmez; TYPE_BEHAVIORS yok (DEFAULT_BEHAVIOR)
