item_key	item_type	width_cm	height_cm	depth_cm	mount_height_cm	wall_gap_cm	scene_width_cm	scene_height_cm	scene_depth_cm
BASE_100	base	100	50	50					
BASE_150	base	150	50	50					
BASE_200	base	200	50	50					
COAT_RACK	coat-rack	43	180	43					
EXTRA_INDOOR_PLANT_1	indoor-plant-1	60	120	60					
EXTRA_LONG_PLANTER_100	indoor-plant-1	100	30	30					
EXTRA_LONG_PLANTER_150	indoor-plant-1	150	30	30					
EXTRA_LONG_PLANTER_200	indoor-plant-1	200	30	30					
KETTLE	kettle	24	25	19					
MINI_FRIDGE_AVANTI	mini-fridge	50	66	50					
PLASTIC_TRASH_BIN	plastic-trash-bin	40	60	40					
TV_42	tv	93	52.3	5				52.3	
TV_55	tv	121.8	68.5	5				68.5	
TV_65	tv	143.9	80.9	5				80.9	
VIDEO_WALL_2X2	tv			5			217	122	
VIDEO_WALL_3X3	tv			5			325.5	183	
VIDEO_WALL_PANEL	video-wall-panel	108.5	61						
base_top_107_50	base-top	107	1.8	50					
base_top_157_50	base-top	157	1.8	50					
base_top_206_50	base-top	206	1.8	50					
chair_eames	chair	46	82	58					
counter_top_102_60	counter-top	102	1.8	60					
counter_top_110_60	counter-top	110	1.8	60					
counter_top_150_60	counter-top	150	1.8	60					
counter_top_160_60	counter-top	160	1.8	60					
counter_top_210_60	counter-top	210	1.8	60					
counter_top_52_60	counter-top	52	1.8	60					
desk_banko_100	counter	100	100	50					
desk_banko_100_L	counter	100	100	100					
desk_banko_150	counter	150	100	50					
desk_banko_150_L	counter	150	100	150					
desk_banko_200	counter	200	100	50					
desk_banko_200_L	counter	200	100	200					
door_100	door	100						350	10
door_leaf_100	door-leaf	100	200	8					
furniture_bar_stool_classic	bar-stool	60	121	55					
furniture_coffee_table_classic	coffee-table-classic	60	38	42					
furniture_sofa_double_classic	sofa-double-classic	150	78	45					
furniture_sofa_set_classic	sofa-set-classic	150	78	150					
furniture_sofa_single_classic	sofa-single-classic	65	78	45					
furniture_table_chair_set_eames	table-chair-set-eames	150	82	150					
glass_shelf	showcase-accessory	87.3	0.6	28.5					
glass_table	table-glass	75	74	75					
illuminated-foam	illuminated-foam	200	50	3.5		1.5			
karolaj	floor	100		100					
led_floodlight	led-floodlight	50	35	20	350				
panel_147_5	panel	147.5	47	0.8					
panel_197	panel	197	47	0.8					
panel_48_5	panel	48.5	47	0.8					
panel_98	panel	98	47	0.8					
panel_corner_142_5	panel	142.5	47	0.8					
panel_corner_192	panel	192	47	0.8					
panel_corner_42_5	panel	42.5	47	0.8					
panel_corner_92	panel	92	47	0.8					
parke-acik	floor	140		16					
parke-beton	floor	112		28					
parke-sari	floor	140		16					
profile_140_5	profile	140.5	8	8			150	350	8
profile_190	profile	190	8	8			200	350	8
profile_41_5	profile	41.5	8	8			50	350	8
profile_91	profile	91	8	8			100	350	8
separator_panel_48_5	separator-panel	48.5	47	0.8					
separator_panel_98	separator-panel	98	47	0.8					
shelf_100	shelf	100	1.8	38			100	1.8	
shelf_150	shelf	150	1.8	38			150	1.8	
shelf_200	shelf	200	1.8	38			200	1.8	
showcase_horizontal_87_4_30	showcase-board	87.4	1.8	30					
showcase_side_143_5_30	showcase-board	143.5	1.8	30					
showcase_side_94_6_30	showcase-board	94.6	1.8	30					
upright_346_5	upright	8	346.5	8			8	346.5	8
upright_49_5	upright	8	49.5	8					
upright_99	upright	8	99	8					
wall_100	flat-panel	100						350	10
wall_100_short_up_1	flat-panel	100							10
wall_100_short_up_2	flat-panel	100							10
wall_150	flat-panel	150						350	10
wall_150_short_up_1	flat-panel	150							10
wall_150_short_up_2	flat-panel	150							10
wall_200	flat-panel	200						350	10
wall_200_short_up_1	flat-panel	200							10
wall_200_short_up_2	flat-panel	200							10
wall_50	flat-panel	50						350	10
wall_50_short_up_1	flat-panel	50							10
wall_50_short_up_2	flat-panel	50							10
wall_separator_100	separator	100						350	10
wall_separator_100_sarmasik	separator	100						350	10
wall_separator_50	separator	50						350	10
wall_separator_50_sarmasik	separator	50						350	10
wall_showcase_100_2	showcase-2	100						350	10
wall_showcase_100_3	showcase-3	100						350	10
